dataset,shot,image_auroc,pixel_auroc,pixel_aupro,n_categories,runner,status
mvtec_ad,0,89.96,61.41,23.01,15,anomalib.WinClipModel,image-level near reproduction; pixel map constant/under investigation
visa,0,75.36,57.09,25.55,12,anomalib.WinClipModel,image-level near reproduction; pixel map constant/under investigation
